"id","Description","Time Stamp","L","A","B","L","C","H","X","Y","Z","R","G","B","HEX","C","M","Y","K","ACES-R","ACES-G","ACES-B","ACEScg-R","ACEScg-G","ACEScg-B","Lin.sRGB-R","Lin.sRGB-G","Lin.sRGB-B",
"8-1","","2022-03-28 13:26:34","89.17","-0.63","1.05","89.17","1.23","121.14","70.54","74.53","79.75","224","224","222","#E0E0DE","11%","8%","10%","0%","0.7423","0.7455","0.7324","0.7437","0.7470","0.7324","0.7426","0.7476","0.7303",
"8-2","","2022-03-28 13:27:07","89.17","-0.62","1.03","89.17","1.20","120.77","70.55","74.53","79.77","224","224","222","#E0E0DE","11%","8%","10%","0%","0.7425","0.7455","0.7327","0.7439","0.7470","0.7327","0.7429","0.7475","0.7306",
"8-1","","2022-03-28 13:27:34","88.59","-0.57","0.93","88.59","1.09","121.74","69.41","73.30","78.59","222","223","221","#DEDFDD","12%","8%","10%","0%","0.7304","0.7332","0.7218","0.7316","0.7346","0.7218","0.7305","0.7351","0.7199",
"8-2","","2022-03-28 13:27:53","88.59","-0.56","0.90","88.59","1.06","122.02","69.40","73.30","78.62","222","223","221","#DEDFDD","12%","8%","10%","0%","0.7304","0.7332","0.7220","0.7315","0.7345","0.7221","0.7304","0.7350","0.7202",
"8-3","","2022-03-28 13:28:09","88.59","-0.56","0.90","88.59","1.06","121.69","69.42","73.31","78.62","222","223","221","#DEDFDD","12%","8%","10%","0%","0.7305","0.7333","0.7221","0.7317","0.7346","0.7221","0.7306","0.7351","0.7203",
"9-1","","2022-03-28 13:29:08","88.59","-0.58","0.93","88.59","1.09","121.94","69.40","73.30","78.59","222","223","221","#DEDFDD","12%","8%","10%","0%","0.7304","0.7332","0.7218","0.7315","0.7346","0.7218","0.7305","0.7351","0.7199",
"9-2","","2022-03-28 13:29:19","88.59","-0.58","0.91","88.59","1.08","122.27","69.40","73.29","78.60","222","223","221","#DEDFDD","12%","8%","10%","0%","0.7303","0.7332","0.7219","0.7314","0.7345","0.7219","0.7303","0.7350","0.7200",
"9-3","","2022-03-28 13:29:31","88.59","-0.57","0.91","88.59","1.07","122.11","69.40","73.29","78.60","222","223","221","#DEDFDD","12%","8%","10%","0%","0.7303","0.7331","0.7219","0.7314","0.7344","0.7219","0.7303","0.7350","0.7200",
"8-1","","2022-03-28 13:29:44","79.87","-0.34","-0.09","79.87","0.36","194.68","53.52","56.45","61.57","197","198","198","#C5C6C6","22%","17%","18%","0%","0.5631","0.5653","0.5654","0.5621","0.5654","0.5654","0.5597","0.5659","0.5655",
"8-2","","2022-03-28 13:29:53","79.89","-0.35","-0.09","79.89","0.36","194.42","53.56","56.49","61.61","197","198","198","#C5C6C6","22%","17%","18%","0%","0.5634","0.5657","0.5658","0.5624","0.5658","0.5658","0.5600","0.5663","0.5659",
"8-3","","2022-03-28 13:30:01","79.90","-0.36","-0.08","79.90","0.37","193.33","53.57","56.51","61.62","197","198","198","#C5C6C6","22%","17%","18%","0%","0.5636","0.5659","0.5660","0.5626","0.5660","0.5660","0.5601","0.5665","0.5660",
"7-1","","2022-03-28 13:30:14","70.40","-0.49","-0.33","70.40","0.59","213.72","39.12","41.33","45.30","171","172","173","#ABACAD","34%","27%","27%","0%","0.4116","0.4143","0.4160","0.4100","0.4143","0.4160","0.4067","0.4149","0.4163",
"7-2","","2022-03-28 13:30:24","70.43","-0.48","-0.34","70.43","0.59","214.96","39.16","41.36","45.34","171","172","173","#ABACAD","34%","27%","27%","0%","0.4119","0.4146","0.4164","0.4103","0.4146","0.4164","0.4071","0.4152","0.4167",
"7-3","","2022-03-28 13:30:45","70.44","-0.49","-0.32","70.44","0.59","213.18","39.18","41.38","45.35","171","173","173","#ABADAD","34%","27%","27%","0%","0.4121","0.4149","0.4165","0.4105","0.4149","0.4165","0.4073","0.4155","0.4168",
"7-4","","2022-03-28 13:30:57","70.45","-0.49","-0.33","70.45","0.59","213.56","39.18","41.39","45.36","171","173","173","#ABADAD","34%","27%","27%","0%","0.4122","0.4149","0.4166","0.4106","0.4150","0.4166","0.4074","0.4155","0.4169",
"6-1","","2022-03-28 13:31:12","59.94","-0.70","-0.48","59.94","0.85","214.72","26.50","28.06","30.89","143","145","145","#8F9191","47%","37%","38%","2%","0.2787","0.2817","0.2837","0.2769","0.2817","0.2836","0.2734","0.2823","0.2840",
"6-2","","2022-03-28 13:31:24","59.95","-0.71","-0.49","59.95","0.86","214.55","26.51","28.07","30.90","143","145","145","#8F9191","47%","37%","38%","2%","0.2788","0.2819","0.2838","0.2770","0.2819","0.2838","0.2734","0.2825","0.2842",
"6-3","","2022-03-28 13:31:33","59.95","-0.70","-0.48","59.95","0.85","214.69","26.51","28.07","30.90","143","145","145","#8F9191","47%","37%","38%","2%","0.2789","0.2819","0.2838","0.2771","0.2819","0.2838","0.2735","0.2825","0.2842",
"5-1","","2022-03-28 13:31:45","49.89","-0.22","-0.28","49.89","0.36","231.33","17.37","18.32","20.10","118","119","119","#767777","55%","46%","46%","11%","0.1828","0.1836","0.1846","0.1822","0.1835","0.1846","0.1812","0.1837","0.1848",
"5-2","","2022-03-28 13:31:58","49.90","-0.23","-0.26","49.90","0.35","229.11","17.39","18.34","20.11","118","119","119","#767777","55%","46%","46%","11%","0.1829","0.1837","0.1846","0.1824","0.1837","0.1846","0.1813","0.1838","0.1848",
"5-3","","2022-03-28 13:32:07","49.90","-0.21","-0.28","49.90","0.35","233.52","17.39","18.34","20.11","118","119","119","#767777","55%","46%","46%","11%","0.1829","0.1837","0.1847","0.1824","0.1836","0.1847","0.1814","0.1838","0.1849",
"4-1","","2022-03-28 13:32:21","39.17","-0.48","-0.30","39.17","0.57","212.23","10.17","10.76","11.83","91","93","93","#5B5D5D","63%","54%","53%","26%","0.1069","0.1080","0.1086","0.1063","0.1080","0.1086","0.1050","0.1082","0.1088",
"4-2","","2022-03-28 13:32:34","39.19","-0.50","-0.28","39.19","0.58","209.30","10.17","10.77","11.83","91","93","93","#5B5D5D","63%","54%","53%","26%","0.1070","0.1081","0.1086","0.1063","0.1081","0.1086","0.1051","0.1083","0.1087",
"4-3","","2022-03-28 13:32:48","39.19","-0.50","-0.29","39.19","0.58","210.28","10.17","10.77","11.84","91","93","93","#5B5D5D","63%","54%","53%","26%","0.1070","0.1081","0.1087","0.1064","0.1082","0.1087","0.1051","0.1084","0.1088",
"3-1","","2022-03-28 13:33:07","30.95","-0.66","-0.15","30.95","0.68","192.37","6.24","6.63","7.26","72","73","73","#484949","67%","59%","58%","40%","0.0656","0.0666","0.0667","0.0652","0.0667","0.0667","0.0641","0.0669","0.0667",
"3-2","","2022-03-28 13:33:15","30.96","-0.64","-0.16","30.96","0.66","194.03","6.25","6.63","7.27","72","73","73","#484949","67%","59%","58%","40%","0.0657","0.0667","0.0667","0.0653","0.0667","0.0667","0.0642","0.0669","0.0668",
"3-3","","2022-03-28 13:33:23","30.96","-0.64","-0.16","30.96","0.66","194.03","6.25","6.63","7.27","72","73","73","#484949","67%","59%","58%","40%","0.0657","0.0667","0.0667","0.0653","0.0667","0.0667","0.0642","0.0669","0.0668",
"2-1","","2022-03-28 13:33:40","21.30","-0.11","-0.05","21.30","0.12","204.16","3.15","3.32","3.63","51","51","51","#333333","70%","63%","62%","59%","0.0332","0.0333","0.0333","0.0331","0.0333","0.0333","0.0330","0.0333","0.0333",
"2-2","","2022-03-28 13:33:59","21.31","-0.12","-0.03","21.31","0.12","196.84","3.15","3.33","3.63","51","51","51","#333333","70%","63%","62%","59%","0.0332","0.0333","0.0333","0.0331","0.0333","0.0333","0.0330","0.0333","0.0333",
"2-3","","2022-03-28 13:34:09","21.31","-0.12","-0.03","21.31","0.12","196.84","3.15","3.33","3.63","51","51","51","#333333","70%","63%","62%","59%","0.0332","0.0333","0.0333","0.0331","0.0333","0.0333","0.0330","0.0333","0.0333",
"9-1","","2022-03-28 13:37:39","88.78","-0.64","0.97","88.78","1.16","123.59","69.75","73.69","78.96","222","223","221","#DEDFDD","12%","8%","10%","0%","0.7340","0.7372","0.7252","0.7351","0.7387","0.7252","0.7337","0.7393","0.7232",
"9-2","","2022-03-28 13:37:52","88.77","-0.64","0.96","88.77","1.15","123.77","69.74","73.68","78.96","222","223","221","#DEDFDD","12%","8%","10%","0%","0.7339","0.7371","0.7252","0.7350","0.7386","0.7252","0.7335","0.7392","0.7233",
"9-3","","2022-03-28 13:37:59","88.76","-0.63","0.94","88.76","1.13","123.90","69.72","73.67","78.96","222","223","221","#DEDFDD","12%","8%","10%","0%","0.7337","0.7370","0.7252","0.7348","0.7384","0.7252","0.7334","0.7390","0.7233",
"8-1","","2022-03-28 13:38:13","79.72","-0.40","-0.08","79.72","0.40","191.48","53.25","56.19","61.27","197","198","198","#C5C6C6","23%","17%","18%","0%","0.5602","0.5627","0.5627","0.5591","0.5629","0.5627","0.5564","0.5634","0.5627",
"8-2","","2022-03-28 13:38:22","79.73","-0.39","-0.08","79.73","0.40","192.29","53.26","56.20","61.28","197","198","198","#C5C6C6","23%","17%","18%","0%","0.5603","0.5628","0.5628","0.5592","0.5630","0.5628","0.5566","0.5635","0.5629",
"8-3","","2022-03-28 13:38:31","79.73","-0.39","-0.09","79.73","0.40","192.94","53.26","56.20","61.29","197","198","198","#C5C6C6","23%","17%","18%","0%","0.5603","0.5628","0.5629","0.5592","0.5630","0.5629","0.5565","0.5635","0.5630",
"7-1","","2022-03-28 13:38:42","70.29","-0.52","-0.34","70.29","0.62","213.69","38.96","41.17","45.13","171","172","172","#ABACAC","35%","27%","27%","0%","0.4099","0.4127","0.4145","0.4082","0.4128","0.4145","0.4048","0.4134","0.4149",
"7-2","","2022-03-28 13:38:49","70.30","-0.52","-0.34","70.30","0.62","213.40","38.98","41.18","45.15","171","172","172","#ABACAC","35%","27%","27%","0%","0.4100","0.4129","0.4147","0.4084","0.4130","0.4146","0.4050","0.4135","0.4150",
"7-3","","2022-03-28 13:38:58","70.31","-0.52","-0.35","70.31","0.62","214.01","38.98","41.19","45.16","171","172","172","#ABACAC","35%","27%","27%","0%","0.4101","0.4129","0.4147","0.4084","0.4130","0.4147","0.4050","0.4136","0.4151",
"6-1","","2022-03-28 13:39:21","59.98","-0.73","-0.45","59.98","0.86","211.83","26.53","28.10","30.91","143","145","145","#8F9191","47%","37%","38%","2%","0.2790","0.2821","0.2839","0.2772","0.2822","0.2839","0.2736","0.2828","0.2842",
"6-2","","2022-03-28 13:39:29","59.98","-0.73","-0.46","59.98","0.86","212.17","26.53","28.10","30.92","143","145","145","#8F9191","47%","37%","38%","2%","0.2791","0.2822","0.2840","0.2773","0.2822","0.2839","0.2736","0.2829","0.2843",
"6-3","","2022-03-28 13:39:37","59.98","-0.73","-0.45","59.98","0.86","211.93","26.53","28.10","30.92","143","145","145","#8F9191","47%","37%","38%","2%","0.2791","0.2822","0.2840","0.2773","0.2823","0.2839","0.2737","0.2829","0.2843",
"5-1","","2022-03-28 13:39:37","59.98","-0.73","-0.45","59.98","0.86","211.93","26.53","28.10","30.92","143","145","145","#8F9191","47%","37%","38%","2%","0.2791","0.2822","0.2840","0.2773","0.2823","0.2839","0.2737","0.2829","0.2843",
"5-1","","2022-03-28 13:40:00","49.80","-0.24","-0.27","49.80","0.36","227.50","17.31","18.25","20.02","118","119","119","#767777","55%","46%","46%","11%","0.1820","0.1829","0.1838","0.1815","0.1829","0.1838","0.1804","0.1830","0.1840",
"5-2","","2022-03-28 13:40:09","49.81","-0.24","-0.28","49.81","0.37","229.04","17.31","18.26","20.02","118","119","119","#767777","55%","46%","46%","11%","0.1821","0.1829","0.1839","0.1815","0.1829","0.1839","0.1804","0.1831","0.1841",
"5-3","","2022-03-28 13:40:16","49.80","-0.24","-0.28","49.80","0.37","229.65","17.31","18.25","20.02","118","119","119","#767777","55%","46%","46%","11%","0.1821","0.1829","0.1839","0.1815","0.1829","0.1839","0.1804","0.1830","0.1841",
"4-1","","2022-03-28 13:40:29","39.25","-0.52","-0.29","39.25","0.59","209.28","10.20","10.80","11.87","91","93","93","#5B5D5D","63%","54%","53%","26%","0.1073","0.1085","0.1090","0.1067","0.1085","0.1090","0.1053","0.1087","0.1091",
"4-2","","2022-03-28 13:40:41","39.26","-0.51","-0.30","39.26","0.59","210.23","10.21","10.81","11.88","91","93","93","#5B5D5D","63%","54%","53%","26%","0.1074","0.1085","0.1091","0.1067","0.1085","0.1091","0.1054","0.1088","0.1092",
"4-3","","2022-03-28 13:40:51","39.26","-0.51","-0.29","39.26","0.59","209.58","10.21","10.81","11.88","91","93","93","#5B5D5D","63%","54%","53%","26%","0.1074","0.1085","0.1091","0.1067","0.1086","0.1091","0.1054","0.1088","0.1092",
"3-1","","2022-03-28 13:41:02","30.87","-0.63","-0.20","30.87","0.67","197.73","6.21","6.60","7.24","71","73","73","#474949","67%","59%","58%","40%","0.0653","0.0663","0.0664","0.0648","0.0663","0.0664","0.0638","0.0665","0.0665",
"3-2","","2022-03-28 13:41:12","30.88","-0.64","-0.18","30.88","0.66","196.00","6.21","6.60","7.23","71","73","73","#474949","67%","59%","58%","40%","0.0654","0.0663","0.0664","0.0649","0.0664","0.0664","0.0638","0.0666","0.0665",
"3-3","","2022-03-28 13:41:19","30.88","-0.64","-0.18","30.88","0.66","196.00","6.21","6.60","7.23","71","73","73","#474949","67%","59%","58%","40%","0.0654","0.0663","0.0664","0.0649","0.0664","0.0664","0.0638","0.0666","0.0665",
"2-1","","2022-03-28 13:41:31","21.12","-0.13","-0.00","21.12","0.13","182.05","3.11","3.28","3.57","51","51","51","#333333","70%","63%","62%","59%","0.0327","0.0328","0.0328","0.0326","0.0328","0.0328","0.0325","0.0328","0.0328",
"2-2","","2022-03-28 13:41:40","21.12","-0.09","-0.00","21.12","0.09","182.09","3.11","3.28","3.57","51","51","51","#333333","70%","63%","62%","59%","0.0327","0.0328","0.0328","0.0327","0.0328","0.0328","0.0326","0.0328","0.0328",
"2-3","","2022-03-28 13:41:47","21.12","-0.09","-0.00","21.12","0.09","182.09","3.11","3.28","3.57","51","51","51","#333333","70%","63%","62%","59%","0.0327","0.0328","0.0328","0.0327","0.0328","0.0328","0.0326","0.0328","0.0328",
